raw_sector,source,mapped_sector,sector_code
dhanashreeelec,mc,,
dhansafalfinse,mc,,
dharaninfra,mc,,
dharire,mc,,
dharmajcrop,mc,,
dhartiproteins,mc,,
dhindiare,mc,,
dhruvacapital,mc,,
digicontent,mc,,
digidrivedist,mc,,
digilogicsyst,mc,,
digitalfibrei,mc,,
dikshagreens,mc,,
divinepower,mc,,
divyashakti,mc,,
djhdckb,mc,,
djmediaprint,mc,,
dlclre,mc,,
dmcc,mc,,
dmrengineering,mc,,
dnl,mc,,
dolatalgotech,mc,,
dreamfolksser,mc,,
dronedesti,mc,,
drsdiliproadl,mc,,
dsjkeeplearn,mc,,
dspassetmanag,mc,,
dspbseliquid,mc,,
dspbsenext30,mc,,
dspbsesensex,mc,,
dspgoldetf,mc,,
dsphealthcare,mc,,
dspliquidetf,mc,,
dspmidcapqual,mc,,
dspniftybank,mc,,
dspniftyetf,mc,,
dspniftyew,mc,,
dspniftyit,mc,,
dspprivbank,mc,,
dsppsbanketf,mc,,
dspsilveretf,mc,,
dsptop10bks,mc,,
dsptop10ew,mc,,
dudigitalre,mc,,
duglobal,mc,,
durlaxre,mc,,
durlaxtopsurf,mc,,
easyfincorp,mc,,
ecapinsure,mc,,
ecml,mc,,
ecohotels,mc,,
ecosindiamobi,mc,,
edelbanketf,mc,,
edelbanknift,mc,,
edelgoldetf,mc,,
edelmomqual,mc,,
edelniftyetf,mc,,
edelsilver,mc,,
edelweissasset,mc,,
efactorexperi,mc,,
efc,mc,,
eihre,mc,,
eikopp,mc,,
eldecohousing,mc,,
electricequipmentboilersturbines,mc,,
electricequipmenttransformers,mc,,
electrodesweldingequipment,mc,,
electroforce,mc,,
elegantflori,mc,,
elfinagroind,mc,,
elforge,mc,,
eliteconintl,mc,,
emaindia,mc,,
embassydevelop,mc,,
emeraldfinance,mc,,
emkaytools,mc,,
emrockcorp,mc,,
enbeere2,mc,,
energyinfra,mc,,
energymission,mc,,
enfusesolution,mc,,
engineersindia,mc,,
enterohealth,mc,,
epicenergy,mc,,
epigral,mc,,
equippp,mc,,
eraayalife,mc,,
erpsoftsystem,mc,,
escortskubota,mc,,
espirehospital,mc,,
espritstones,mc,,
eternal,mc,,
etf,mc,,
eurekaind,mc,,
evanselectric,mc,,
everfin,mc,,
explicitfinance,mc,,
expoeng,mc,,
eyantraventure,mc,,
fabinoent,mc,,
feddersholding,mc,,
ferromanganese,mc,,
fineotexchem,mc,,
finopayments,mc,,
firstcustodian,mc,,
fischermedical,mc,,
flomicglobal,mc,,
fmecintl,mc,,
forbesprecisio,mc,,
forcasstudio,mc,,
fourthgeninfo,mc,,
fractalanalyti,mc,,
fractalind,mc,,
franklintempa,mc,,
fratellivineya,mc,,
froginnovation,mc,,
frontlinecorp,mc,,
fusionfinance,mc,,
futuristicsec,mc,,
fynxcapital,mc,,
gajanansec,mc,,
galacticocorp,mc,,
galactre,mc,,
galaxyagrico,mc,,
gallopsent,mc,,
gamco,mc,,
gangaforging,mc,,
gangapharma,mc,,
garbifinvest,mc,,
garmentmantra,mc,,
garodiachemica,mc,,
gatechdvr,mc,,
gatewaydistre,mc,,
gaudiumivf,mc,,
gautamgems,mc,,
gb250sep28,mc,,
gcmsecurities,mc,,
geeceeventures,mc,,
genomicvalley,mc,,
gfl,mc,,
ggdandekar,mc,,
ghvinfra,mc,,
gian,mc,,
girnatureview,mc,,
glcl,mc,,
globaldefence,mc,,
globaletessile,mc,,
globere,mc,,
gloster,mc,,
gm,mc,,
gmrairports,mc,,
gnfc,mc,,
goblinindia,mc,,
godigit,mc,,
gokulre,mc,,
gokulsolutions,mc,,
gold,mc,,
goldetf,mc,,
goyalsalt,mc,,
gracioussoftwa,mc,,
gradienteinfo,mc,,
grandfoundry,mc,,
grandoak,mc,,
grasimpp,mc,,
grasimpp1,mc,,
grbsehospital,mc,,
greenhitechven,mc,,
greenpanelind,mc,,
greensignalbio,mc,,
grillsplendour,mc,,
grindiarail,mc,,
grininternet,mc,,
grliquid,mc,,
grlowvol50,mc,,
grmidcap150,mc,,
grmomentum50,mc,,
grnext50,mc,,
grnifty200,mc,,
grniftypse,mc,,
groarcind,mc,,
groverjewells,mc,,
growniftyev,mc,,
growwamc,mc,,
growwdefence,mc,,
growwgoldetf,mc,,
growwslvr,mc,,
grpsubank,mc,,
gse10ygilt,mc,,
gstlre,mc,,
gttdatasolu,mc,,
gujambexports,mc,,
gujaratwinding,mc,,
gujinjectkera,mc,,
gujjubhaiind,mc,,
gujtlrmre,mc,,
gujtoolroom,mc,,
halderventure,mc,,
hamptonsky,mc,,
hannahjoseph,mc,,
harigcrankshaf,mc,,
harikantaovers,mc,,
haslifestyle,mc,,
hathwaybhawani,mc,,
hatsunre,mc,,
